epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.786,1.24472,6.70537,2.4441,0.00257,0.93631,0.25307,0.10623,2.76483,17.982,5.14167,0.000650794,0.000650794,0.000650794
2,366.76,1.3838,5.23453,2.43124,0.49214,0.2293,0.33289,0.14202,3.19805,14.7302,8.40954,0.00127359,0.00127359,0.00127359
3,492.388,1.34605,3.76979,2.4157,0.73042,0.78981,0.80478,0.67461,1.45054,9.01481,2.91605,0.00185198,0.00185198,0.00185198
4,626.945,1.35304,3.10132,2.40859,0.18849,0.12739,0.12144,0.03394,4.77827,8.94094,12.2223,0.0018002,0.0018002,0.0018002
5,758.832,1.26756,2.49667,2.31484,0.6653,0.82803,0.70338,0.63184,1.04716,4.0619,2.3514,0.0017336,0.0017336,0.0017336
6,989.364,1.22664,2.17094,2.30541,0.61518,0.7535,0.66785,0.59687,1.10264,3.70196,2.3957,0.001667,0.001667,0.001667
7,1244.93,1.25081,1.93568,2.31452,0.49733,0.6242,0.51039,0.23201,2.71827,5.05513,4.5981,0.0016004,0.0016004,0.0016004
8,1345.41,1.14989,1.77744,2.25217,0.35897,0.51592,0.29121,0.09004,5.02522,5.55779,9.63678,0.0015338,0.0015338,0.0015338
9,1446.14,1.13811,1.74049,2.26262,0.94547,0.12739,0.49522,0.31666,1.97574,5.41429,3.63155,0.0014672,0.0014672,0.0014672
10,1655.6,1.12262,1.58686,2.23571,0.76028,0.78785,0.76782,0.59776,1.36637,2.44971,2.50364,0.0014006,0.0014006,0.0014006
11,1875.8,1.05563,1.46326,2.18679,0.79306,0.8535,0.77858,0.71264,1.03616,1.93545,2.27701,0.001334,0.001334,0.001334
12,1976.72,1.07676,1.41083,2.22137,0.79455,0.8868,0.79986,0.73159,0.99566,1.80279,2.24239,0.0012674,0.0012674,0.0012674
13,2076.65,1.06809,1.4105,2.22128,0.7484,0.8535,0.73767,0.71154,0.84284,2.05872,2.04886,0.0012008,0.0012008,0.0012008
14,2177.44,0.97329,1.29475,2.15758,0.86343,0.82166,0.83782,0.80183,0.81495,1.61932,2.02636,0.0011342,0.0011342,0.0011342
15,2293.09,1.04129,1.33276,2.19524,0.71693,0.7707,0.7571,0.67576,1.19176,2.40488,2.3987,0.0010676,0.0010676,0.0010676
16,2443.26,0.9484,1.24203,2.1374,0.75017,0.78415,0.71996,0.64254,1.18545,2.45609,2.2935,0.001001,0.001001,0.001001
17,2677.03,0.93212,1.23068,2.15001,0.76377,0.80255,0.79383,0.76649,0.77252,1.76925,1.97145,0.0009344,0.0009344,0.0009344
18,3078.15,0.90644,1.21372,2.10911,0.78335,0.82166,0.82078,0.80073,0.75648,1.61635,1.9586,0.0008678,0.0008678,0.0008678
19,3446.88,0.88896,1.2028,2.12421,0.8441,0.81529,0.84255,0.82231,0.74661,1.57098,1.97414,0.0008012,0.0008012,0.0008012
20,3765.25,0.90015,1.17739,2.11909,0.79274,0.88535,0.8272,0.81071,0.7396,1.48024,1.96516,0.0007346,0.0007346,0.0007346
21,4166.33,0.57572,1.29417,1.93676,0.79203,0.87328,0.85377,0.83921,0.67997,1.37884,1.91017,0.000668,0.000668,0.000668
22,6187.44,0.55312,1.15283,1.90661,0.79391,0.89809,0.79644,0.77986,0.6783,1.45686,1.86892,0.0006014,0.0006014,0.0006014
23,6285.78,0.51011,1.07933,1.85829,0.79484,0.90446,0.79903,0.78638,0.64927,1.44893,1.87525,0.0005348,0.0005348,0.0005348
24,6667.84,0.50989,1.09089,1.86983,0.84793,0.88793,0.81929,0.80442,0.66142,1.36441,1.88288,0.0004682,0.0004682,0.0004682
25,6901.96,0.50206,1.05421,1.85175,0.88403,0.86624,0.86882,0.86155,0.58412,1.24477,1.82302,0.0004016,0.0004016,0.0004016
26,7027.67,0.45673,1.00617,1.83403,0.85403,0.85715,0.87243,0.86554,0.59363,1.33862,1.84205,0.000335,0.000335,0.000335
27,7152.41,0.45874,0.98127,1.80494,0.83341,0.89172,0.86058,0.85542,0.55561,1.25905,1.78879,0.0002684,0.0002684,0.0002684
28,7408.29,0.43354,0.94687,1.79515,0.81552,0.89172,0.85762,0.85254,0.52772,1.29454,1.78327,0.0002018,0.0002018,0.0002018
29,7799.34,0.41529,0.91425,1.7784,0.81917,0.87898,0.86066,0.85541,0.51452,1.26555,1.77456,0.0001352,0.0001352,0.0001352
30,7980.24,0.40567,0.90584,1.79408,0.83029,0.90367,0.87036,0.86604,0.51896,1.22906,1.78198,6.86e-05,6.86e-05,6.86e-05
